date,confirmed
2021-08-05,116037
2021-08-06,116198
2021-08-07,116327
2021-08-08,116460
2021-08-09,116601
2021-08-10,116710
2021-08-11,116803
2021-08-12,116944
2021-08-13,117016
2021-08-14,117083
2021-08-15,117160
2021-08-16,117216
2021-08-17,117263
2021-08-18,117329
2021-08-19,117391
2021-08-20,117441
2021-08-21,117493
2021-08-22,117538
2021-08-23,117591
2021-08-24,117622
2021-08-25,117661
2021-08-26,117711
2021-08-27,117768
2021-08-28,117813
2021-08-29,117859
2021-08-30,117919
2021-08-31,117950
2021-09-01,117991
2021-09-02,118037
2021-09-03,118082
2021-09-04,118126
2021-09-05,118172
2021-09-06,118223
2021-09-07,118255
2021-09-08,118296
2021-09-09,118321
2021-09-10,118371
2021-09-11,118437
2021-09-12,118528
2021-09-13,118646
2021-09-14,118724
2021-09-15,118808
2021-09-16,118892
2021-09-17,118958
2021-09-18,119038
2021-09-19,119101
2021-09-20,119188
2021-09-21,119239
2021-09-22,119290
2021-09-23,119360
2021-09-24,119418
2021-09-25,119471
2021-09-26,119526
2021-09-27,119578
2021-09-28,119624
2021-09-29,119670
2021-09-30,119726
2021-10-01,119790
2021-10-02,119832
2021-10-03,119872
2021-10-04,119916
2021-10-05,119965
2021-10-06,120007
2021-10-07,120048
2021-10-08,120081
2021-10-09,120102
2021-10-10,120169
2021-10-11,120195
2021-10-12,120234
2021-10-13,120278
2021-10-14,120304
2021-10-15,120349
2021-10-16,120389
2021-10-17,120426
2021-10-18,120460
2021-10-19,120507
2021-10-20,120550
2021-10-21,120629
2021-10-22,120701
2021-10-23,120765
2021-10-24,120817
2021-10-25,120872
2021-10-26,120954
2021-10-27,121015
2021-10-28,121102
2021-10-29,121200
2021-10-30,121292
2021-10-31,121396
2021-11-01,121477
2021-11-02,121593
2021-11-03,121714
2021-11-04,121827
2021-11-05,121925
2021-11-06,122022
2021-11-07,122141
2021-11-08,122228
2021-11-09,122345
2021-11-10,122445
2021-11-11,122563
2021-11-12,122658
2021-11-13,122750
2021-11-14,122826
2021-11-15,122855
2021-11-16,122895
2021-11-17,122946
2021-11-18,122994
2021-11-19,123041
2021-11-20,123076
2021-11-21,123123
2021-11-22,123169
2021-11-23,123212
2021-11-24,123252
2021-11-25,123293
2021-11-26,123339
2021-11-27,123376
2021-11-28,123441
2021-11-29,123501
2021-11-30,123638
2021-12-01,123725
2021-12-02,123839
2021-12-03,123956
2021-12-04,124034
2021-12-05,124123
2021-12-06,124262
2021-12-07,124346
2021-12-08,124447
2021-12-09,124549
2021-12-10,124673
2021-12-11,124751
2021-12-12,124856
2021-12-13,124925
2021-12-14,125012
2021-12-15,125112
2021-12-16,125216
2021-12-17,125363
2021-12-18,125475
2021-12-19,125623
2021-12-20,125695
2021-12-21,125835
2021-12-22,125958
2021-12-23,126065
2021-12-24,126233
2021-12-25,126319
2021-12-26,126559
2021-12-27,126937
2021-12-28,127161
2021-12-29,127390
2021-12-30,127623
2021-12-31,127896
2022-01-01,128132
2022-01-02,128259
2022-01-03,128596
2022-01-04,128771
2022-01-05,129064
2022-01-06,129280
2022-01-07,129491
2022-01-08,129738
2022-01-09,129959
2022-01-10,130213
2022-01-11,130497
2022-01-12,130737
2022-01-13,130977
2022-01-14,131184
2022-01-15,131327
2022-01-16,131601
2022-01-17,131796
2022-01-18,131928
2022-01-19,132043
2022-01-20,132148
2022-01-21,132264
2022-01-22,132383
2022-01-23,132597
2022-01-24,132772
2022-01-25,132978
2022-01-26,133209
2022-01-27,133484
2022-01-28,133709
2022-01-29,133939
2022-01-30,134139
2022-01-31,134345
2022-02-01,134564
2022-02-02,134745
2022-02-03,135008
2022-02-04,135216
2022-02-05,135663
2022-02-06,136115
2022-02-07,136880
2022-02-08,137648
2022-02-09,138855
2022-02-10,139968
2022-02-11,141448
2022-02-12,143060
2022-02-13,144519
2022-02-14,146700
2022-02-15,148461
2022-02-16,152856
2022-02-17,159083
2022-02-18,162889
2022-02-19,169170
2022-02-20,175417
2022-02-21,183114
2022-02-22,189565
2022-02-23,198478
2022-02-24,207599
2022-02-25,217932
2022-02-26,292792
2022-02-27,344032
2022-02-28,400569
2022-03-01,456582
2022-03-02,533295
2022-03-03,610697
2022-03-04,683791
2022-03-05,751844
2022-03-06,792163
2022-03-07,829306
2022-03-08,868818
2022-03-09,899945
2022-03-10,932696
2022-03-11,963302
2022-03-12,992569
2022-03-13,1028437
2022-03-14,1057573
2022-03-15,1090400
2022-03-16,1123895
2022-03-17,1147435
2022-03-18,1171570
2022-03-19,1193563
2022-03-20,1210422
2022-03-21,1228883
2022-03-22,1249958
2022-03-23,1266606
2022-03-24,1283788
2022-03-25,1299036
2022-03-26,1313471
2022-03-27,1327092
2022-03-28,1340972
2022-03-29,1355883
2022-03-30,1371807
2022-03-31,1385495
2022-04-01,1400358
2022-04-02,1414142
2022-04-03,1430893
2022-04-04,1446956
2022-04-05,1466859
2022-04-06,1490014
2022-04-07,1515913
2022-04-08,1541981
2022-04-09,1569185
2022-04-10,1597094
2022-04-11,1626085
2022-04-12,1652078
2022-04-13,1682737
2022-04-14,1713300
2022-04-15,1738527
2022-04-16,1762757
2022-04-17,1787635
2022-04-18,1811382
2022-04-19,1832597
2022-04-20,1849430
2022-04-21,1869000
2022-04-22,1888027
2022-04-23,1911669
2022-04-24,1933414
2022-04-25,1953258
2022-04-26,1970377
2022-04-27,1983788
2022-04-28,1994593
2022-04-29,2005524
2022-04-30,2015624
2022-05-01,2024284
2022-05-02,2031342
2022-05-03,2037518
2022-05-04,2043178
2022-05-05,2048423
2022-05-06,2053250
2022-05-07,2057995
2022-05-08,2062668
2022-05-09,2066938
2022-05-10,2070480
2022-05-11,2072376
2022-05-12,2074583
2022-05-13,2077182
2022-05-14,2079353
2022-05-15,2081192
2022-05-16,2082624
2022-05-17,2084058
2022-05-18,2085584
2022-05-19,2086877
2022-05-20,2088229
2022-05-21,2089569
2022-05-22,2090677
2022-05-23,2091649
2022-05-24,2092491
2022-05-25,2093305
2022-05-26,2094030
2022-05-27,2094679
2022-05-28,2095275
2022-05-29,2095730
2022-05-30,2096200
2022-05-31,2096684
2022-06-01,2097282
2022-06-02,2097925
2022-06-03,2098595
2022-06-04,2099041
